abandon;покидать, бросать
died;умер
difference;разница
different;различный
difficult;трудный
digital;цифровой
dilapidated;полуразрушенный
dim;тусклый
dinner;ужин
dinnertime;время ужина
dinosaur;динозавр
dip;макать
direct;прямой
directed;направленный
directing;направляющий
dirty;грязный
dissapointed;разочарованный
discolored;обесцвеченный
discover;обнаруживать
discovered;обнаруженный
disguise;маскировать
dishes;блюда
dislocated;вывихнутый
dislodge;вытеснить
display;дисплей
displaying;демонстрировать
disposable;расходный материал
distance;расстояние
distant;отдаленный
distinct;отчетливый
distort;искажать
distorted;искаженный
distract;отвлекать
disturb;беспокоить
divert;отвлечь
do;do
dog;собака
doll;кукла
done;сделано
door;дверь
doorframe;дверная рама
doorknob;дверная ручка
doorpost;дверной косяк
doorway;дверной проем
doth;делает
doubt;сомнение
doubtfully;с сомнением
dough;тесто
doughy;рыхлый
down;вниз
downstairs;внизу
downy;пушистый
dozen;дюжина
drag;тащить
dragon;дракон
drainpipe;водосточная труба
drank;напиться
drape;драпировка
draw;рисовать
drawer;выдвижной ящик
drawing;рисунок
drawing-room;гостиная
drawn;нарисованный
dreadful;ужасный
dream;мечта
dreamed;приснившийся
dreamless;без сновидений
dress;платье
dressed;одетый
dressing;перевязочный
dressing-gown;домашний халат
dressing-up;переодевание
drew;нарисовал
dried;высушенный
drift;дрейф
drifted;дрейфовал
drifting;дрейфующий
drink;пить
drip;капать
dripping;капающий
drive;водить
driveway;дорога
drool;сочиться
droop;свисать
drop;капля
droplet;капелька
drum;барабан
dry;сухой
dryly;сухо
duck;утка
dug;вырытый
dully;тупо
during;в течение
dusty;пыльный
dutiful;исполнительный
dye;краситель
each;каждый
eager;жаждущий
ear;ухо
early;ранний
earth;земля
easier;легче
easily;легко
easy;простой
eat;есть
eaten;съеденный
eating;кушающий
ecstatically;восторженно
edge;край
effect;эффект
effort;усилие
egg;яйцо
eggshell;яичная скорлупа
either;любой
electric;электрический
elephant;слон
else;ещё
elsewhere;в другом месте
